Timestamp,PT1,PT2,LC,LC_VOLT,Packet Delimiter
2295831,774.49,776.31,-0.40,0.00,-42069
2295862,772.06,776.31,-0.40,0.00,-42069
2295892,773.27,776.31,-0.40,0.00,-42069
2295923,773.27,776.31,-0.40,0.00,-42069
2296046,774.49,775.10,-0.40,0.00,-42069
2296137,774.49,775.10,-0.40,0.00,-42069
2296168,774.49,776.31,-0.40,0.00,-42069
2296199,772.06,777.52,-0.40,0.00,-42069
2296229,773.27,776.31,-0.40,0.00,-42069
2296321,774.49,776.31,-0.40,0.00,-42069
2296382,774.49,776.31,-0.40,0.00,-42069
2296413,774.49,776.31,-0.40,0.00,-42069
2296443,774.49,772.67,-0.40,0.00,-42069
2296474,774.49,776.31,-0.40,0.00,-42069
2296505,774.49,777.52,-0.40,0.00,-42069
2296596,774.49,775.10,-0.40,0.00,-42069
2296688,774.49,777.52,-0.40,0.00,-42069
2296719,774.49,777.52,-0.40,0.00,-42069
2296780,774.49,777.52,-0.40,0.00,-42069
2296811,774.49,777.52,-0.40,0.00,-42069
2296933,774.49,777.52,-0.40,0.00,-42069
2297025,774.49,777.52,-0.40,0.00,-42069
2297056,775.70,777.52,-0.40,0.00,-42069
2297085,773.27,777.52,-0.40,0.00,-42069
2297147,775.70,777.52,-0.40,0.00,-42069
2297178,775.70,777.52,-0.40,0.00,-42069
2297270,774.49,777.52,-0.40,0.00,-42069
2297330,774.49,773.89,-0.40,0.00,-42069
2297361,774.49,777.52,-0.40,0.00,-42069
2297392,775.70,776.31,-0.40,0.00,-42069
2297422,775.70,776.31,-0.40,0.00,-42069
2297453,775.70,777.52,-0.40,0.00,-42069
2297545,775.70,778.73,-0.40,0.00,-42069
2297606,775.70,778.73,-0.40,0.00,-42069
2297698,775.70,778.73,-0.40,0.00,-42069
2297821,773.27,778.73,-0.40,0.00,-42069
2297881,775.70,777.52,-0.40,0.00,-42069
2297912,775.70,778.73,-0.40,0.00,-42069
2297943,775.70,778.73,-0.40,0.00,-42069
2298095,775.70,775.10,-0.40,0.00,-42069
2298187,775.70,776.31,-0.40,0.00,-42069
2298218,775.70,778.73,-0.40,0.00,-42069
2298249,775.70,777.52,-0.40,0.00,-42069
2298279,772.06,778.73,-0.40,0.00,-42069
2298371,775.70,778.73,-0.40,0.00,-42069
2298432,775.70,777.52,-0.40,0.00,-42069
2298463,772.06,779.94,-0.40,0.00,-42069
2298493,776.91,778.73,-0.40,0.00,-42069
2298524,775.70,778.73,-0.40,0.00,-42069
2298646,776.91,775.10,-0.40,0.00,-42069
2298738,775.70,778.73,-0.40,0.00,-42069
2298769,775.70,779.94,-0.40,0.00,-42069
2298800,776.91,778.73,-0.40,0.00,-42069
2298830,776.91,778.73,-0.40,0.00,-42069
2298921,776.91,779.94,-0.40,0.00,-42069
2299014,776.91,778.73,-0.40,0.00,-42069
2299044,774.49,779.94,-0.40,0.00,-42069
2299075,776.91,779.94,-0.40,0.00,-42069
2299105,776.91,778.73,-0.40,0.00,-42069
2299289,776.91,778.73,-0.40,0.00,-42069
2299350,776.91,777.52,-0.40,0.00,-42069
2299380,776.91,778.73,-0.40,0.00,-42069
2299411,776.91,779.94,-0.40,0.00,-42069
2299534,776.91,779.94,-0.40,0.00,-42069
2299656,778.13,779.94,-0.40,0.00,-42069
2299686,776.91,776.31,-0.40,0.00,-42069
2299748,776.91,778.73,-0.40,0.00,-42069
2299779,776.91,777.52,-0.40,0.00,-42069
2299931,773.27,779.94,-0.40,0.00,-42069
2299962,778.13,779.94,-0.40,0.00,-42069
2300023,776.91,779.94,-0.40,0.00,-42069
2300054,776.91,779.94,-0.40,0.00,-42069
2300145,776.91,778.73,-0.40,0.00,-42069
2300207,778.13,779.94,-0.40,0.00,-42069
2300268,778.13,778.73,-0.40,0.00,-42069
2300299,778.13,779.94,-0.40,0.00,-42069
2300329,776.91,779.94,-0.40,0.00,-42069
2300421,778.13,779.94,-0.40,0.00,-42069
2300482,778.13,781.15,-0.40,0.00,-42069
2300513,778.13,779.94,-0.40,0.00,-42069
2300544,779.34,781.15,-0.40,0.00,-42069
2300574,778.13,781.15,-0.40,0.00,-42069
2300696,778.13,779.94,-0.40,0.00,-42069
2300758,778.13,779.94,-0.40,0.00,-42069
2300819,778.13,781.15,-0.40,0.00,-42069
2300850,778.13,778.73,-0.40,0.00,-42069
2300879,778.13,779.94,-0.40,0.00,-42069
2300972,776.91,781.15,-0.40,0.00,-42069
2301033,778.13,781.15,-0.40,0.00,-42069
2301094,778.13,778.73,-0.40,0.00,-42069
2301124,778.13,778.73,-0.40,0.00,-42069
2301155,778.13,779.94,-0.40,0.00,-42069
2301247,778.13,781.15,-0.40,0.00,-42069
2301308,778.13,781.15,-0.40,0.00,-42069
2301369,778.13,781.15,-0.40,0.00,-42069
2301400,778.13,779.94,-0.40,0.00,-42069
2301522,778.13,779.94,-0.40,0.00,-42069
2301584,778.13,781.15,-0.40,0.00,-42069
2301644,776.91,781.15,-0.40,0.00,-42069
2301675,778.13,781.15,-0.40,0.00,-42069
2301798,779.34,781.15,-0.40,0.00,-42069
2301889,779.34,781.15,-0.40,0.00,-42069
2301950,778.13,781.15,-0.40,0.00,-42069
2301981,778.13,782.36,-0.40,0.00,-42069
2302012,778.13,782.36,-0.40,0.00,-42069
2302043,775.70,782.36,-0.40,0.00,-42069
2302134,776.91,782.36,-0.40,0.00,-42069
2302195,779.34,782.36,-0.40,0.00,-42069
2302226,779.34,781.15,-0.40,0.00,-42069
2302257,779.34,781.15,-0.40,0.00,-42069
2302318,779.34,781.15,-0.40,0.00,-42069
2302409,779.34,782.36,-0.40,0.00,-42069
2302501,779.34,781.15,-0.40,0.00,-42069
2302532,779.34,781.15,-0.40,0.00,-42069
2302563,778.13,779.94,-0.40,0.00,-42069
2302594,779.34,781.15,-0.40,0.00,-42069
2302746,779.34,781.15,-0.40,0.00,-42069
2302777,778.13,778.73,-0.40,0.00,-42069
2302808,779.34,781.15,-0.40,0.00,-42069
